assetId,ticker,name,assetClass,region,sourceSymbol,provider,listingExchange,listingCurrency,exposureCurrency,returnCurrency,fxTreatment,isCurrencyHedged,isin,domicile,category,distributionPolicy,replicationMethod,inceptionDate,aum,terAnnual,terAsOf,terSource,proxyAssetId,proxySpliceDate,proxyMethod,proxyRationale
AAPL,AAPL,Apple Inc.,equity,us,AAPL,yahoo-finance-chart-api,NasdaqGS,USD,USD,USD,unhedged,False,,,,,,1980-12-12,,,,,,,,
AGG,AGG,iShares Core U.S. Aggregate Bond ETF,bond,us,AGG,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2003-09-29,138120,,,,,,,
ANGL,ANGL,VanEck Fallen Angel High Yield Bond ETF,bond,us,ANGL,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2012-04-11,,,,,,,,
ARGT,ARGT,Global X MSCI Argentina ETF,equity,global,ARGT,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2011-03-03,,,,,,,,
ARKB,ARKB,ARK 21Shares Bitcoin ETF,crypto,us,ARKB,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2024-01-11,,,,,,,,
ASHR,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,equity,us,ASHR,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2013-11-06,,,,,,,,
AVDV,AVDV,Avantis International Small Cap Value ETF,equity,international,AVDV,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2019-09-26,,,,,,,,
AVES,AVES,Avantis Emerging Markets Value ETF,equity,emerging-markets,AVES,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2021-09-30,,,,,,,,
AVUV,AVUV,Avantis US Small Cap Value ETF,equity,us,AVUV,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2019-09-26,27000,,,,,,,
BAR,BAR,GraniteShares Gold Trust Shares,commodity,us,BAR,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2017-09-01,,,,,,,,
BIL,BIL,State Street SPDR Bloomberg 1-3 Month T-Bill ETF,cash,us,BIL,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-05-30,46605,,,,,,,
BITB,BITB,Bitwise Bitcoin ETF,crypto,us,BITB,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2024-01-11,,,,,,,,
BIV,BIV,Vanguard Intermediate-Term Bond Index Fund,bond,us,BIV,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-04-10,29151,,,,,,,
BND,BND,Vanguard Total Bond Market Index Fund,bond,us,BND,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2007-04-10,160000,,,,,,,
BNDX,BNDX,Vanguard Total International Bond Index Fund,bond,international,BNDX,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2013-06-04,82740,,,,,,,
BSV,BSV,Vanguard Short-Term Bond Index Fund ETF Shares,bond,us,BSV,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-04-10,44280,,,,,,,
BTAL,BTAL,AGF U.S. Market Neutral Anti-Beta Fund,equity,us,BTAL,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2011-09-13,,,,,,,,
BWX,BWX,State Street SPDR Bloomberg Int,equity,us,BWX,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-10-11,,,,,,,,
CGDV,CGDV,Capital Group Dividend Value ETF,equity,us,CGDV,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2022-02-24,223000,,,,,,,
COPX,COPX,Global X Copper Miners ETF,equity,global,COPX,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2010-04-20,,,,,,,,
CPER,CPER,"United States Copper Index Fund, LP",equity,us,CPER,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2011-11-15,,,,,,,,
CSRSX,CSRSX,Cohen & Steers Realty Shares L,real-estate,us,CSRSX,yahoo-finance-chart-api,Nasdaq,USD,USD,USD,unhedged,False,,,,,,1991-07-01,,,,,,,,
CTA,CTA,Simplify Managed Futures Strategy ETF,alternative,us,CTA,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2022-03-08,3862,,,,,,,
DBB,DBB,Invesco DB Base Metals Fund,equity,us,DBB,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-01-05,,,,,,,,
DBC,DBC,Invesco DB Commodity Index Tracking Fund,commodity,us,DBC,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2006-02-06,,,,,,,,
DBMF,DBMF,iMGP DBi Managed Futures Strategy ETF,alternative,us,DBMF,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2019-05-08,1500,,,,,,,
DIA,DIA,State Street SPDR Dow Jones Industrial Average ETF Trust,equity,us,DIA,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,1998-01-20,44364,,,,,,,
DISV,DISV,Dimensional International Small Cap Value ETF,equity,international,DISV,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2022-03-24,,,,,,,,
EFA,EFA,iShares MSCI EAFE ETF,equity,international,EFA,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2001-08-27,28717,,,,,,,
EFAV,EFAV,iShares MSCI EAFE Min Vol Factor ETF,equity,international,EFAV,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2011-10-20,,,,,,,,
EIDO,EIDO,iShares MSCI Indonesia ETF,equity,us,EIDO,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2010-05-07,,,,,,,,
EMB,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,bond,emerging-markets,EMB,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2007-12-19,14486,,,,,,,
EMLC,EMLC,VanEck J.P. Morgan EM Local Currency Bond ETF,bond,us,EMLC,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2010-07-23,4830,,,,PREMX,2010-07-23,asset-class-proxy,"PREMX (T. Rowe Price Emerging Markets Bond Fund) extends EMLC's history back to 1994-12-30; return series match exactly (correlation 1.0000) over the overlapping period, confirming PREMX was the source."
