ticker,longName
AAPL,Apple Inc.
AGG,iShares Core U.S. Aggregate Bond ETF
ANGL,VanEck Fallen Angel High Yield Bond ETF
ARGT,Global X MSCI Argentina ETF
ARKB,ARK 21Shares Bitcoin ETF
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF
AVDV,Avantis International Small Cap Value ETF
AVES,Avantis Emerging Markets Value ETF
AVUV,Avantis US Small Cap Value ETF
BAR,GraniteShares Gold Trust Shares
BIL,State Street SPDR Bloomberg 1-3 Month T-Bill ETF
BITB,Bitwise Bitcoin ETF
BIV,Vanguard Intermediate-Term Bond Index Fund
BND,Vanguard Total Bond Market Index Fund
BNDX,Vanguard Total International Bond Index Fund
BSV,Vanguard Short-Term Bond Index Fund ETF Shares
BTAL,AGF U.S. Market Neutral Anti-Beta Fund
BWX,State Street SPDR Bloomberg Int
CGDV,Capital Group Dividend Value ETF
COPX,Global X Copper Miners ETF
CPER,"United States Copper Index Fund, LP"
CSRSX,Cohen & Steers Realty Shares L
CTA,Simplify Managed Futures Strategy ETF
DBB,Invesco DB Base Metals Fund
DBC,Invesco DB Commodity Index Tracking Fund
DBMF,iMGP DBi Managed Futures Strategy ETF
DIA,State Street SPDR Dow Jones Industrial Average ETF Trust
DISV,Dimensional International Small Cap Value ETF
EFA,iShares MSCI EAFE ETF
EFAV,iShares MSCI EAFE Min Vol Factor ETF
EIDO,iShares MSCI Indonesia ETF
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF
EMLC,VanEck J.P. Morgan EM Local Currency Bond ETF
EMXC,iShares MSCI Emerging Markets ex China ETF
EPHE,iShares MSCI Philippines ETF
ETH,Grayscale Ethereum Mini Trust ETF
ETHA,iShares Ethereum Trust ETF
EWH,iShares MSCI Hong Kong ETF
EWJ,iShares MSCI Japan Index Fund
EWL,iShares MSCI Switzerland ETF
EWS,iShares MSCI Singapore ETF
EWT,iShares MSCI Taiwan ETF
EWW,iShares MSCI Mexico ETF
EWY,iShares MSCI South Korea ETF
EWZ,iShares MSCI Brazil ETF
EZA,iShares MSCI South Africa ETF
EZBC,Franklin Bitcoin ETF
EZU,iShares MSCI Eurozone ETF
FALN,iShares Fallen Angels USD Bond ETF
FBTC,Fidelity Wise Origin Bitcoin Fund
FETH,Fidelity Ethereum Fund
FLIN,Franklin FTSE India ETF
FTGC,First Trust Global Tactical Commodity Strategy Fund
FTLS,First Trust Long/Short Equity ETF
GLD,SPDR Gold Shares
GOVT,iShares U.S. Treasury Bond ETF
GREK,Global X MSCI Greece ETF
GRN,iPath Series B Carbon ETN
GSG,iShares S&P GSCI Commodity-Indexed Trust
HGER,Harbor Commodity All-Weather Strategy ETF
HODL,VanEck Bitcoin ETF
HYG,iShares iBoxx $ High Yield Corporate Bond ETF
HYLB,Xtrackers USD High Yield Corporate Bond ETF
IAU,iShares Gold Trust
IBIT,iShares Bitcoin Trust ETF
ICVT,iShares Convertible Bond ETF
IEF,iShares 7-10 Year Treasury Bond ETF
IEFA,iShares Core MSCI EAFE ETF
IEMG,iShares Core MSCI Emerging Markets ETF
IEUR,iShares Core MSCI Europe ETF
IFRA,iShares U.S. Infrastructure ETF
IGF,iShares Global Infrastructure ETF
IGLA.L,iShares Global Govt Bond UCITS ETF USD (Acc)
IGLB,iShares 10+ Year Investment Grade Corporate Bond ETF
IGOV,iShares International Treasury Bond ETF
IJH,iShares Core S&P Mid-Cap ETF
IJPA.L,iShares Core MSCI Japan IMI UCITS ETF USD (Acc)
IJR,iShares Core S&P Small-Cap ETF
IJT,iShares S&P Small-Cap 600 Growth ETF
INDA,iShares MSCI India ETF
IOO,iShares Global 100 ETF
IVAL,Alpha Architect International Quantitative Value ETF
IWM,iShares Russell 2000 ETF
